[338, 'ENSMUSG00000100450.1']
[339, 'ENSMUSG00000099392.1']
[340, 'ENSMUSG00000033569.13']
[341, 'ENSMUSG00000080849.1']
[342, 'ENSMUSG00000104257.1']
[343, 'ENSMUSG00000096866.1']
[344, 'ENSMUSG00000102296.1']
[345, 'ENSMUSG00000103209.1']
[346, 'ENSMUSG00000104027.1']
[347, 'ENSMUSG00000102407.1']
[348, 'ENSMUSG00000103214.1']
[349, 'ENSMUSG00000104100.1']
[350, 'ENSMUSG00000084740.1']
[351, 'ENSMUSG00000103889.1']
[352, 'ENSMUSG00000101301.1']
[353, 'ENSMUSG00000104221.1']
[354, 'ENSMUSG00000102250.1']
[355, 'ENSMUSG00000102317.1']
[356, 'ENSMUSG00000103563.1']
[357, 'ENSMUSG00000102465.1']
[358, 'ENSMUSG00000102659.1']
[359, 'ENSMUSG00000103924.1']
[360, 'ENSMUSG00000104132.1']
[361, 'ENSMUSG00000102747.1']
[362, 'ENSMUSG00000102386.1']
[363, 'ENSMUSG00000103004.1']
[364, 'ENSMUSG00000104516.1']
[365, 'ENSMUSG00000101618.1']
[366, 'ENSMUSG00000099458.1']
[367, 'ENSMUSG00000101524.1']
[368, 'ENSMUSG00000088111.1']
[369, 'ENSMUSG00000073722.3']
[370, 'ENSMUSG00000095256.1']
[371, 'ENSMUSG00000100310.1']
[372, 'ENSMUSG00000101514.1']
[373, 'ENSMUSG00000101033.1']
[374, 'ENSMUSG00000101372.1']
[375, 'ENSMUSG00000103241.1']
[376, 'ENSMUSG00000086240.4']
[377, 'ENSMUSG00000048411.4']
[378, 'ENSMUSG00000081557.2']
[379, 'ENSMUSG00000058590.2']
[380, 'ENSMUSG00000101235.1']
[381, 'ENSMUSG00000064433.1']
[382, 'ENSMUSG00000080625.1']
[383, 'ENSMUSG00000080391.1']
[384, 'ENSMUSG00000099257.1']
[385, 'ENSMUSG00000099492.1']
[386, 'ENSMUSG00000101726.1']
[387, 'ENSMUSG00000096829.1']
[388, 'ENSMUSG00000098883.1']
[389, 'ENSMUSG00000053185.2']
[390, 'ENSMUSG00000100261.1']
[391, 'ENSMUSG00000101180.1']
[392, 'ENSMUSG00000048874.11']
[393, 'ENSMUSG00000103783.1']
[394, 'ENSMUSG00000104315.1']
[395, 'ENSMUSG00000026064.11']
[396, 'ENSMUSG00000086151.3']
[397, 'ENSMUSG00000086726.2']
[398, 'ENSMUSG00000087346.2']
[399, 'ENSMUSG00000100371.1']
[400, 'ENSMUSG00000100237.1']
[401, 'ENSMUSG00000098529.1']
[402, 'ENSMUSG00000086727.3']
[403, 'ENSMUSG00000100910.1']
[404, 'ENSMUSG00000099796.1']
[405, 'ENSMUSG00000050217.9']
[406, 'ENSMUSG00000026063.4']
[407, 'ENSMUSG00000077664.1']
[408, 'ENSMUSG00000100205.1']
[409, 'ENSMUSG00000100592.1']
[410, 'ENSMUSG00000094215.2']
[411, 'ENSMUSG00000101093.1']
[412, 'ENSMUSG00000070960.4']
[413, 'ENSMUSG00000088620.1']
[414, 'ENSMUSG00000082159.2']
[415, 'ENSMUSG00000026058.7']
[416, 'ENSMUSG00000064688.1']
[417, 'ENSMUSG00000103482.1']
[418, 'ENSMUSG00000104498.1']
[419, 'ENSMUSG00000104313.1']
[420, 'ENSMUSG00000102865.1']
[421, 'ENSMUSG00000102321.1']
[422, 'ENSMUSG00000091318.2']
[423, 'ENSMUSG00000089489.1']
[424, 'ENSMUSG00000104433.1']
[425, 'ENSMUSG00000089395.1']
[426, 'ENSMUSG00000102926.1']
[427, 'ENSMUSG00000100497.1']
[428, 'ENSMUSG00000102917.1']
[429, 'ENSMUSG00000100481.1']
[430, 'ENSMUSG00000100590.1']
[431, 'ENSMUSG00000088750.1']
[432, 'ENSMUSG00000104230.1']
[433, 'ENSMUSG00000101754.2']
[434, 'ENSMUSG00000065223.1']
[435, 'ENSMUSG00000100318.2']
[436, 'ENSMUSG00000101612.2']
[437, 'ENSMUSG00000065260.1']
[438, 'ENSMUSG00000026134.11']
[439, 'ENSMUSG00000101682.1']
[440, 'ENSMUSG00000102714.1']
[441, 'ENSMUSG00000102093.1']
[442, 'ENSMUSG00000103746.1']
[443, 'ENSMUSG00000102198.1']
[444, 'ENSMUSG00000004768.10']
[445, 'ENSMUSG00000042215.8']
[446, 'ENSMUSG00000103072.1']
[447, 'ENSMUSG00000042197.9']
[448, 'ENSMUSG00000081402.4']
[449, 'ENSMUSG00000042182.12']
[450, 'ENSMUSG00000104416.1']
[451, 'ENSMUSG00000026131.13']
[452, 'ENSMUSG00000103888.1']
[453, 'ENSMUSG00000103596.1']
[454, 'ENSMUSG00000099382.1']
[455, 'ENSMUSG00000084506.1']
[456, 'ENSMUSG00000103364.1']
[457, 'ENSMUSG00000103405.1']
[458, 'ENSMUSG00000096992.3']
[459, 'ENSMUSG00000104475.1']
[460, 'ENSMUSG00000103001.1']
[461, 'ENSMUSG00000104397.1']
[462, 'ENSMUSG00000102839.1']
