[401, 'ENSG00000202461.1']
[402, 'ENSG00000243539.2']
[403, 'ENSG00000120949.10']
[404, 'ENSG00000201135.1']
[405, 'ENSG00000227875.2']
[406, 'ENSG00000028137.12']
[407, 'ENSG00000263676.1']
[408, 'ENSG00000225196.2']
[409, 'ENSG00000252969.1']
[410, 'ENSG00000048707.9']
[411, 'ENSG00000239149.1']
[412, 'ENSG00000229484.1']
[413, 'ENSG00000162496.4']
[414, 'ENSG00000221340.1']
[415, 'ENSG00000272482.1']
[416, 'ENSG00000204518.2']
[417, 'ENSG00000226166.2']
[418, 'ENSG00000188984.7']
[419, 'ENSG00000238771.1']
[420, 'ENSG00000157330.5']
[421, 'ENSG00000116726.4']
[422, 'ENSG00000116721.9']
[423, 'ENSG00000228338.1']
[424, 'ENSG00000204513.5']
[425, 'ENSG00000231103.2']
[426, 'ENSG00000179172.7']
[427, 'ENSG00000120952.4']
[428, 'ENSG00000243073.3']
[429, 'ENSG00000187545.5']
[430, 'ENSG00000204510.1']
[431, 'ENSG00000207434.1']
[432, 'ENSG00000234064.1']
[433, 'ENSG00000232423.3']
[434, 'ENSG00000250894.1']
[435, 'ENSG00000204508.3']
[436, 'ENSG00000239810.2']
[437, 'ENSG00000270601.1']
[438, 'ENSG00000250113.1']
[439, 'ENSG00000204505.3']
[440, 'ENSG00000233336.1']
[441, 'ENSG00000229978.1']
[442, 'ENSG00000236179.1']
[443, 'ENSG00000179412.8']
[444, 'ENSG00000224199.1']
[445, 'ENSG00000229571.2']
[446, 'ENSG00000204503.5']
[447, 'ENSG00000233394.1']
[448, 'ENSG00000204502.2']
[449, 'ENSG00000231219.1']
[450, 'ENSG00000207511.1']
[451, 'ENSG00000182330.6']
[452, 'ENSG00000237700.1']
[453, 'ENSG00000204501.2']
[454, 'ENSG00000228229.2']
[455, 'ENSG00000204495.3']
[456, 'ENSG00000204491.2']
[457, 'ENSG00000204488.3']
[458, 'ENSG00000204486.3']
[459, 'ENSG00000204485.2']
[460, 'ENSG00000224581.1']
[461, 'ENSG00000157358.7']
[462, 'ENSG00000204481.6']
[463, 'ENSG00000204480.6']
[464, 'ENSG00000204479.4']
[465, 'ENSG00000204478.5']
[466, 'ENSG00000162494.5']
[467, 'ENSG00000259961.1']
[468, 'ENSG00000215909.3']
[469, 'ENSG00000162493.12']
[470, 'ENSG00000222952.1']
[471, 'ENSG00000266358.1']
[472, 'ENSG00000237445.2']
[473, 'ENSG00000253085.1']
[474, 'ENSG00000116731.18']
[475, 'ENSG00000252151.1']
[476, 'ENSG00000231606.1']
[477, 'ENSG00000234593.1']
[478, 'ENSG00000189337.11']
[479, 'ENSG00000235829.1']
[480, 'ENSG00000175147.7']
[481, 'ENSG00000171729.9']
[482, 'ENSG00000204464.3']
[483, 'ENSG00000215720.4']
[484, 'ENSG00000142621.15']
[485, 'ENSG00000233485.1']
[486, 'ENSG00000236045.1']
[487, 'ENSG00000228140.1']
[488, 'ENSG00000142634.8']
[489, 'ENSG00000162438.7']
[490, 'ENSG00000142615.7']
[491, 'ENSG00000215704.5']
[492, 'ENSG00000132906.13']
[493, 'ENSG00000116138.8']
[494, 'ENSG00000251866.1']
[495, 'ENSG00000272510.1']
[496, 'ENSG00000116771.5']
[497, 'ENSG00000237301.1']
[498, 'ENSG00000235084.2']
[499, 'ENSG00000252417.1']
[500, 'ENSG00000236500.1']
[501, 'ENSG00000197312.7']
[502, 'ENSG00000215695.1']
[503, 'ENSG00000271742.1']
[504, 'ENSG00000116786.7']
[505, 'ENSG00000264048.1']
[506, 'ENSG00000237938.1']
[507, 'ENSG00000162461.7']
[508, 'ENSG00000224459.1']
[509, 'ENSG00000162460.6']
[510, 'ENSG00000162458.8']
[511, 'ENSG00000224321.1']
[512, 'ENSG00000233954.4']
[513, 'ENSG00000178715.7']
[514, 'ENSG00000179743.2']
[515, 'ENSG00000065526.6']
[516, 'ENSG00000238818.1']
[517, 'ENSG00000270620.1']
[518, 'ENSG00000116809.7']
[519, 'ENSG00000234607.2']
[520, 'ENSG00000231353.1']
[521, 'ENSG00000224966.4']
[522, 'ENSG00000183888.4']
[523, 'ENSG00000233078.1']
[524, 'ENSG00000173641.13']
[525, 'ENSG00000186510.7']
[526, 'ENSG00000232456.1']
[527, 'ENSG00000184908.13']
[528, 'ENSG00000185519.8']
[529, 'ENSG00000142627.9']
[530, 'ENSG00000227959.1']
[531, 'ENSG00000224621.1']
[532, 'ENSG00000234166.1']
[533, 'ENSG00000142632.12']
[534, 'ENSG00000237276.4']
[535, 'ENSG00000204377.3']
[536, 'ENSG00000132881.7']
[537, 'ENSG00000233929.1']
[538, 'ENSG00000037637.6']
[539, 'ENSG00000055070.12']
[540, 'ENSG00000226457.1']
[541, 'ENSG00000187144.7']
[542, 'ENSG00000157191.15']
[543, 'ENSG00000226029.1']
[544, 'ENSG00000080947.10']
[545, 'ENSG00000206652.1']
[546, 'ENSG00000261135.1']
[547, 'ENSG00000224174.2']
[548, 'ENSG00000233421.3']
[549, 'ENSG00000268674.1']
[550, 'ENSG00000225710.1']
[551, 'ENSG00000266584.1']
[552, 'ENSG00000219481.6']
[553, 'ENSG00000271732.1']
[554, 'ENSG00000215908.5']
[555, 'ENSG00000186301.7']
[556, 'ENSG00000207513.1']
[557, 'ENSG00000237847.2']
[558, 'ENSG00000264742.1']
[559, 'ENSG00000236698.1']
[560, 'ENSG00000268869.1']
[561, 'ENSG00000268991.1']
[562, 'ENSG00000058453.12']
[563, 'ENSG00000207389.1']
[564, 'ENSG00000227684.1']
[565, 'ENSG00000186715.6']
[566, 'ENSG00000223643.2']
[567, 'ENSG00000230239.1']
[568, 'ENSG00000263811.1']
[569, 'ENSG00000228549.2']
[570, 'ENSG00000238142.1']
[571, 'ENSG00000235241.1']
[572, 'ENSG00000207005.1']
[573, 'ENSG00000272426.1']
[574, 'ENSG00000117122.9']
[575, 'ENSG00000226526.1']
[576, 'ENSG00000159363.13']
[577, 'ENSG00000117118.5']
[578, 'ENSG00000117115.8']
[579, 'ENSG00000252180.1']
[580, 'ENSG00000204362.5']
[581, 'ENSG00000142623.8']
[582, 'ENSG00000142619.4']
[583, 'ENSG00000266634.1']
[584, 'ENSG00000159339.9']
[585, 'ENSG00000269468.1']
[586, 'ENSG00000256049.2']
[587, 'ENSG00000227751.1']
[588, 'ENSG00000179051.9']
[589, 'ENSG00000266727.1']
[590, 'ENSG00000239020.1']
[591, 'ENSG00000074964.12']
[592, 'ENSG00000236648.1']
[593, 'ENSG00000117148.6']
[594, 'ENSG00000261781.1']
[595, 'ENSG00000117154.7']
[596, 'ENSG00000230035.2']
[597, 'ENSG00000225387.1']
[598, 'ENSG00000179023.7']
[599, 'ENSG00000235282.2']
[600, 'ENSG00000225478.2']
[601, 'ENSG00000009709.7']
[602, 'ENSG00000179002.5']
[603, 'ENSG00000255275.3']
[604, 'ENSG00000159423.12']
[605, 'ENSG00000265606.1']
[606, 'ENSG00000221662.1']
[607, 'ENSG00000169991.6']
[608, 'ENSG00000272084.1']
[609, 'ENSG00000127481.10']
[610, 'ENSG00000266098.1']
[611, 'ENSG00000230424.1']
[612, 'ENSG00000127463.9']
[613, 'ENSG00000053372.4']
[614, 'ENSG00000211454.9']
[615, 'ENSG00000162482.4']
[616, 'ENSG00000270728.1']
[617, 'ENSG00000053371.8']
[618, 'ENSG00000200403.1']
[619, 'ENSG00000040487.8']
[620, 'ENSG00000265192.1']
[621, 'ENSG00000077549.13']
[622, 'ENSG00000240490.2']
[623, 'ENSG00000201609.1']
[624, 'ENSG00000239027.1']
[625, 'ENSG00000235185.1']
[626, 'ENSG00000270136.1']
[627, 'ENSG00000173436.9']
[628, 'ENSG00000226396.1']
[629, 'ENSG00000158747.9']
[630, 'ENSG00000158748.3']
[631, 'ENSG00000162542.9']
[632, 'ENSG00000178828.5']
[633, 'ENSG00000235434.1']
