[258, 'ENSMUSG00000026117.7']
[259, 'ENSMUSG00000026116.5']
[260, 'ENSMUSG00000080054.2']
[261, 'ENSMUSG00000070201.1']
[262, 'ENSMUSG00000050122.12']
[263, 'ENSMUSG00000026115.8']
[264, 'ENSMUSG00000026114.8']
[265, 'ENSMUSG00000026113.10']
[266, 'ENSMUSG00000086064.1']
[267, 'ENSMUSG00000026112.6']
[268, 'ENSMUSG00000026111.9']
[269, 'ENSMUSG00000026110.9']
[270, 'ENSMUSG00000087233.1']
[271, 'ENSMUSG00000026090.9']
[272, 'ENSMUSG00000089767.1']
[273, 'ENSMUSG00000060771.7']
[274, 'ENSMUSG00000092106.1']
[275, 'ENSMUSG00000037216.4']
[276, 'ENSMUSG00000026088.9']
[277, 'ENSMUSG00000026087.5']
[278, 'ENSMUSG00000061584.5']
[279, 'ENSMUSG00000087374.1']
[280, 'ENSMUSG00000026085.5']
[281, 'ENSMUSG00000089141.1']
[282, 'ENSMUSG00000058407.6']
[283, 'ENSMUSG00000026083.7']
[284, 'ENSMUSG00000026082.6']
[285, 'ENSMUSG00000037138.9']
[286, 'ENSMUSG00000085391.1']
[287, 'ENSMUSG00000085280.1']
[288, 'ENSMUSG00000087131.1']
[289, 'ENSMUSG00000048814.4']
[290, 'ENSMUSG00000026080.7']
[291, 'ENSMUSG00000067604.2']
[292, 'ENSMUSG00000026078.5']
[293, 'ENSMUSG00000026077.9']
[294, 'ENSMUSG00000092553.1']
[295, 'ENSMUSG00000092563.1']
[296, 'ENSMUSG00000073702.4']
[297, 'ENSMUSG00000003134.5']
[298, 'ENSMUSG00000065629.1']
[299, 'ENSMUSG00000003135.9']
[300, 'ENSMUSG00000085894.1']
[301, 'ENSMUSG00000077704.1']
[302, 'ENSMUSG00000048234.8']
[303, 'ENSMUSG00000064936.1']
[304, 'ENSMUSG00000050967.4']
[305, 'ENSMUSG00000090677.1']
[306, 'ENSMUSG00000057173.7']
[307, 'ENSMUSG00000091937.1']
[308, 'ENSMUSG00000026074.7']
[309, 'ENSMUSG00000086705.1']
[310, 'ENSMUSG00000026073.7']
[311, 'ENSMUSG00000026072.6']
[312, 'ENSMUSG00000070942.3']
[313, 'ENSMUSG00000026069.9']
[314, 'ENSMUSG00000026070.8']
[315, 'ENSMUSG00000026068.5']
[316, 'ENSMUSG00000026065.7']
[317, 'ENSMUSG00000088965.1']
[318, 'ENSMUSG00000026062.7']
[319, 'ENSMUSG00000041945.6']
[320, 'ENSMUSG00000079588.1']
[321, 'ENSMUSG00000053640.1']
[322, 'ENSMUSG00000060424.6']
[323, 'ENSMUSG00000045515.2']
[324, 'ENSMUSG00000060679.7']
[325, 'ENSMUSG00000077448.1']
[326, 'ENSMUSG00000079587.1']
[327, 'ENSMUSG00000041907.7']
[328, 'ENSMUSG00000089088.1']
[329, 'ENSMUSG00000070939.2']
[330, 'ENSMUSG00000041878.3']
[331, 'ENSMUSG00000010290.7']
[332, 'ENSMUSG00000008136.8']
[333, 'ENSMUSG00000067579.6']
[334, 'ENSMUSG00000066877.5']
[335, 'ENSMUSG00000026051.8']
[336, 'ENSMUSG00000057363.6']
[337, 'ENSMUSG00000090243.1']
[338, 'ENSMUSG00000088848.1']
[339, 'ENSMUSG00000077132.1']
[340, 'ENSMUSG00000041763.7']
[341, 'ENSMUSG00000047343.4']
[342, 'ENSMUSG00000090106.1']
[343, 'ENSMUSG00000091844.1']
[344, 'ENSMUSG00000026049.5']
[345, 'ENSMUSG00000026047.7']
[346, 'ENSMUSG00000041684.5']
[347, 'ENSMUSG00000026048.9']
[348, 'ENSMUSG00000046828.3']
[349, 'ENSMUSG00000089703.1']
[350, 'ENSMUSG00000078019.1']
[351, 'ENSMUSG00000056870.3']
[352, 'ENSMUSG00000089877.1']
[353, 'ENSMUSG00000026043.11']
[354, 'ENSMUSG00000026042.9']
[355, 'ENSMUSG00000065010.1']
[356, 'ENSMUSG00000065255.1']
[357, 'ENSMUSG00000087764.1']
[358, 'ENSMUSG00000025995.9']
[359, 'ENSMUSG00000084817.2']
[360, 'ENSMUSG00000091090.1']
[361, 'ENSMUSG00000025993.4']
[362, 'ENSMUSG00000070896.1']
[363, 'ENSMUSG00000090682.1']
[364, 'ENSMUSG00000044457.2']
[365, 'ENSMUSG00000041144.8']
[366, 'ENSMUSG00000070199.1']
[367, 'ENSMUSG00000078595.2']
[368, 'ENSMUSG00000025986.5']
[369, 'ENSMUSG00000081185.1']
[370, 'ENSMUSG00000080510.1']
[371, 'ENSMUSG00000088017.1']
[372, 'ENSMUSG00000064943.1']
[373, 'ENSMUSG00000092790.1']
[374, 'ENSMUSG00000051616.8']
[375, 'ENSMUSG00000084531.1']
[376, 'ENSMUSG00000026109.7']
[377, 'ENSMUSG00000092906.1']
[378, 'ENSMUSG00000045954.6']
[379, 'ENSMUSG00000026107.5']
[380, 'ENSMUSG00000018417.8']
[381, 'ENSMUSG00000072324.3']
[382, 'ENSMUSG00000062939.5']
[383, 'ENSMUSG00000078291.1']
[384, 'ENSMUSG00000026104.7']
[385, 'ENSMUSG00000026103.8']
[386, 'ENSMUSG00000065192.1']
[387, 'ENSMUSG00000002881.8']
[388, 'ENSMUSG00000043015.8']
[389, 'ENSMUSG00000041439.8']
[390, 'ENSMUSG00000026102.2']
[391, 'ENSMUSG00000041426.6']
[392, 'ENSMUSG00000089802.1']
[393, 'ENSMUSG00000043629.6']
[394, 'ENSMUSG00000026100.5']
[395, 'ENSMUSG00000089334.1']
[396, 'ENSMUSG00000060715.3']
[397, 'ENSMUSG00000026098.7']
[398, 'ENSMUSG00000026097.3']
[399, 'ENSMUSG00000026096.7']
[400, 'ENSMUSG00000026095.6']
[401, 'ENSMUSG00000092657.1']
[402, 'ENSMUSG00000067440.1']
[403, 'ENSMUSG00000026094.8']
[404, 'ENSMUSG00000042807.9']
[405, 'ENSMUSG00000087949.1']
[406, 'ENSMUSG00000064498.1']
[407, 'ENSMUSG00000025983.5']
[408, 'ENSMUSG00000041303.6']
[409, 'ENSMUSG00000073678.2']
[410, 'ENSMUSG00000070889.4']
[411, 'ENSMUSG00000052331.7']
[412, 'ENSMUSG00000089245.1']
[413, 'ENSMUSG00000025982.7']
[414, 'ENSMUSG00000025981.7']
[415, 'ENSMUSG00000025980.8']
[416, 'ENSMUSG00000073676.4']
[417, 'ENSMUSG00000089670.1']
[418, 'ENSMUSG00000025979.7']
[419, 'ENSMUSG00000061863.5']
[420, 'ENSMUSG00000025978.8']
[421, 'ENSMUSG00000073675.3']
